tconst,genres
tt0020356,['Comedy']
tt0020823,"['Drama', 'Romance']"
tt0020985,"['Comedy', 'Drama']"
tt0021268,['Comedy']
tt0021377,"['Comedy', 'Romance']"
tt0021381,"['Adventure', 'Crime', 'Romance']"
tt0023039,['Drama']
tt0024869,"['Crime', 'Drama', 'Romance']"
tt0025006,['Western']
tt0025037,"['Drama', 'Fantasy', 'Romance']"
tt0027456,"['Comedy', 'Musical', 'Romance']"
tt0027923,"['Comedy', 'Mystery', 'Romance']"
tt0028310,"['Drama', 'Romance']"
tt0028576,"['Comedy', 'Crime', 'Mystery']"
tt0028763,['Drama']
tt0028843,"['Comedy', 'Musical']"
tt0029894,"['Comedy', 'Drama']"
tt0029992,"['Drama', 'Family', 'Fantasy']"
tt0030027,"['Action', 'Crime', 'Drama']"
tt0030241,"['Comedy', 'Romance']"
tt0030897,"['Comedy', 'Music', 'Romance']"
tt0031490,"['Comedy', 'Crime', 'Drama']"
tt0032338,"['Comedy', 'Drama', 'Romance']"
tt0034862,"['Comedy', 'Drama', 'Music']"
tt0036014,"['Comedy', 'Music', 'Romance']"
tt0036711,"['Crime', 'Drama', 'Film-Noir']"
tt0036988,"['Comedy', 'History', 'Musical']"
tt0037242,"['Comedy', 'Romance', 'War']"
tt0037595,"['Comedy', 'Romance']"
tt0038125,"['Drama', 'Thriller']"
tt0038606,"['Comedy', 'Musical', 'Romance']"
tt0038833,"['Crime', 'Drama']"
tt0039203,"['Comedy', 'Family']"
tt0039231,"['Action', 'Adventure', 'Comedy']"
tt0039266,"['Comedy', 'Drama']"
tt0039473,['Western']
tt0039562,"['Drama', 'Fantasy']"
tt0040443,"['Adventure', 'Comedy', 'Crime']"
tt0040848,['Musical']
tt0041099,
tt0041473,"['Comedy', 'Drama', 'Family']"
tt0041475,"['Comedy', 'Musical']"
tt0041528,"['Crime', 'Drama', 'Film-Noir']"
tt0042568,['Musical']
tt0042665,"['Drama', 'Romance']"
tt0044008,"['Drama', 'Family', 'Fantasy']"
tt0044708,"['Drama', 'Romance']"
tt0044715,['Drama']
tt0046250,"['Comedy', 'Romance']"
tt0046487,['Comedy']
tt0047673,"['Comedy', 'Musical', 'Romance']"
tt0047939,['Documentary']
tt0048104,['Comedy']
tt0051147,"['Comedy', 'Romance']"
tt0051493,"['Music', 'Romance']"
tt0052047,"['Action', 'Comedy', 'Romance']"
tt0052284,"['Drama', 'War']"
tt0052897,['Comedy']
tt0054271,"['Adventure', 'Crime', 'Mystery']"
tt0056334,"['Comedy', 'Drama']"
tt0057541,"['Comedy', 'Musical', 'Romance']"
tt0057637,"['Comedy', 'Fantasy', 'Romance']"
tt0057916,"['Drama', 'Fantasy']"
tt0058197,['Comedy']
tt0059004,"['Comedy', 'Drama', 'Musical']"
tt0059026,"['Animation', 'Comedy', 'Drama']"
tt0059032,"['Family', 'Fantasy']"
tt0060236,['Family']
tt0060345,"['Animation', 'Comedy', 'Family']"
tt0061844,"['Drama', 'Western']"
tt0064037,['Drama']
tt0065040,"['Adventure', 'Family']"
tt0066975,"['Drama', 'Fantasy', 'Romance']"
tt0067209,"['Drama', 'Family']"
tt0067400,"['Family', 'Sci-Fi']"
tt0068683,['Comedy']
tt0068708,"['Drama', 'Horror', 'Mystery']"
tt0068720,"['Drama', 'Family']"
tt0070004,['Drama']
tt0071222,"['Horror', 'Mystery', 'Thriller']"
tt0071613,['Comedy']
tt0073751,"['Animation', 'Family', 'Fantasy']"
tt0074813,"['Comedy', 'Romance']"
tt0075128,"['Adventure', 'Family', 'Fantasy']"
tt0075449,"['Drama', 'Western']"
tt0075846,['Drama']
tt0075875,['Comedy']
tt0075988,"['Comedy', 'Drama', 'Family']"
tt0076213,"['Comedy', 'Fantasy']"
tt0076448,"['Animation', 'Drama', 'Family']"
tt0076783,['Drama']
tt0077281,['Sci-Fi']
tt0077333,"['Drama', 'Family']"
tt0077465,['Comedy']
tt0077710,['Comedy']
tt0078132,"['Drama', 'Horror']"
tt0078764,"['Drama', 'Fantasy']"
tt0078968,['Drama']
tt0079828,"['Adventure', 'Animation', 'Comedy']"
tt0080531,"['Adventure', 'Drama', 'Family']"
tt0080532,"['Drama', 'Music']"
tt0080822,['Comedy']
tt0081190,"['Drama', 'Family', 'Fantasy']"
tt0081340,"['Animation', 'Comedy', 'Family']"
tt0081793,"['Horror', 'Thriller']"
tt0085231,"['Comedy', 'Family']"
tt0085282,"['Drama', 'Family']"
tt0085334,"['Comedy', 'Family']"
tt0085593,['Drama']
tt0085933,"['Drama', 'War']"
tt0087056,"['Drama', 'Family', 'Fantasy']"
tt0087548,['Music']
tt0087797,"['Drama', 'Family', 'Fantasy']"
tt0088106,"['Comedy', 'Romance']"
tt0089038,"['Horror', 'Mystery']"
tt0089285,['Drama']
tt0089731,"['Family', 'Fantasy']"
tt0090838,['Drama']
tt0090839,['Drama']
tt0090840,"['Drama', 'Family']"
tt0091975,"['Fantasy', 'Music']"
tt0092167,"['Comedy', 'Family', 'Sci-Fi']"
tt0092756,"['Drama', 'Family', 'Fantasy']"
tt0093198,['Drama']
tt0093877,"['Comedy', 'Drama', 'Romance']"
tt0094754,"['Comedy', 'History']"
tt0094873,['Drama']
tt0095107,"['Comedy', 'Family', 'Fantasy']"
tt0095347,['Drama']
tt0095416,"['Family', 'Music']"
tt0095589,['Drama']
tt0096376,"['Comedy', 'Drama', 'Family']"
tt0097126,['Drama']
tt0097157,"['Drama', 'Thriller']"
tt0097601,"['Adventure', 'Comedy']"
tt0097958,['Comedy']
tt0099263,"['Family', 'Fantasy', 'Musical']"
tt0099711,"['Comedy', 'Fantasy', 'Sci-Fi']"
tt0099780,['Drama']
tt0099787,"['Drama', 'Family']"
tt0099930,['Drama']
tt0100173,"['Comedy', 'Family', 'Fantasy']"
tt0101301,"['Comedy', 'Family', 'Romance']"
tt0101348,"['Adventure', 'Crime', 'Family']"
tt0101580,"['Drama', 'Romance']"
tt0102285,"['Comedy', 'Romance', 'Thriller']"
tt0102821,"['Crime', 'Drama', 'Thriller']"
tt0103960,['Drama']
tt0103961,"['Comedy', 'Romance']"
tt0104940,"['Comedy', 'Drama', 'Family']"
tt0105694,"['Comedy', 'Drama']"
tt0107688,"['Animation', 'Family', 'Fantasy']"
tt0109425,"['Comedy', 'Drama', 'Family']"
tt0110732,"['Drama', 'Family']"
tt0112509,['Musical']
tt0112667,"['Drama', 'Fantasy']"
tt0112668,"['Adventure', 'Animation', 'Drama']"
tt0113321,"['Comedy', 'Drama', 'Romance']"
tt0115891,"['Comedy', 'Fantasy']"
tt0115892,"['Drama', 'Family']"
tt0115893,"['Animation', 'Fantasy', 'Short']"
tt0116092,"['Comedy', 'Fantasy']"
tt0116189,['Family']
tt0116321,"['Animation', 'Short']"
tt0116544,"['Comedy', 'Romance']"
tt0116717,['Comedy']
tt0116984,"['Documentary', 'Music']"
tt0117109,"['Comedy', 'Family', 'Horror']"
tt0118201,['Drama']
tt0118692,"['Animation', 'Family', 'Fantasy']"
tt0120489,"['Comedy', 'Romance']"
tt0122019,"['Adventure', 'Animation', 'Family']"
tt0122244,['Musical']
tt0122260,['Drama']
tt0122272,"['Drama', 'Family']"
tt0122494,"['Adventure', 'Animation', 'Family']"
tt0123179,"['Animation', 'Comedy', 'Drama']"
tt0124013,"['Comedy', 'Family', 'Musical']"
tt0125465,['Drama']
tt0125945,['Comedy']
tt0126946,"['Drama', 'Music']"
tt0128083,"['Comedy', 'Family', 'Fantasy']"
tt0128995,"['Animation', 'Family']"
tt0129145,['Comedy']
tt0129359,"['Comedy', 'Drama', 'Family']"
tt0129827,['Drama']
tt0135187,"['Drama', 'Family']"
tt0135412,"['Comedy', 'Musical', 'Romance']"
tt0135467,"['Drama', 'Romance']"
tt0135636,"['Animation', 'Family']"
tt0136399,['Fantasy']
tt0136444,"['Comedy', 'Drama']"
tt0136755,"['Comedy', 'Fantasy', 'Romance']"
tt0137000,"['Drama', 'Family', 'Romance']"
tt0137044,['Drama']
tt0137098,"['Drama', 'War']"
tt0139393,['Animation']
tt0140605,"['Animation', 'Family']"
tt0140825,"['Drama', 'Romance']"
tt0144827,['Family']
tt0144828,
tt0155110,"['Comedy', 'Family']"
tt0155570,"['Animation', 'Comedy', 'Family']"
tt0155753,"['Comedy', 'Family']"
tt0156400,['Drama']
tt0158515,"['Animation', 'Family']"
tt0158530,"['Comedy', 'Drama', 'Romance']"
tt0164648,"['Drama', 'Romance']"
tt0164654,"['Drama', 'Romance']"
tt0166960,"['Adventure', 'Animation', 'Comedy']"
tt0167248,"['Drama', 'Family']"
tt0170016,"['Comedy', 'Family', 'Fantasy']"
tt0170547,"['Family', 'Fantasy']"
tt0172238,"['Drama', 'Family']"
tt0173731,['Documentary']
tt0174550,"['Adventure', 'Drama', 'Family']"
tt0176292,['Family']
tt0176987,"['Animation', 'Family']"
tt0177248,
tt0177398,['Short']
tt0178787,['Comedy']
tt0179681,['Comedy']
tt0179682,"['Animation', 'Family']"
tt0180860,"['Crime', 'Thriller']"
tt0180984,['Documentary']
tt0181570,"['Drama', 'Family', 'Romance']"
tt0182015,"['Animation', 'Family', 'Sci-Fi']"
tt0182307,['Comedy']
tt0182983,"['Comedy', 'Drama', 'Romance']"
tt0183681,['Comedy']
tt0185235,"['Documentary', 'Music']"
tt0187774,['Comedy']
tt0187775,['Comedy']
tt0188504,"['Drama', 'Fantasy']"
tt0189741,"['Romance', 'Sci-Fi']"
tt0193163,"['Animation', 'Family']"
tt0193164,"['Animation', 'Comedy', 'Family']"
tt0193430,['Drama']
tt0193524,"['Adventure', 'Family', 'Musical']"
tt0195039,"['Family', 'Fantasy']"
tt0196565,['Documentary']
tt0198321,['Family']
tt0199161,"['Animation', 'Comedy', 'Family']"
tt0200245,"['Comedy', 'Romance']"
tt0204956,
tt0208654,"['Animation', 'Comedy', 'Family']"
tt0213965,"['Drama', 'Romance']"
tt0214227,['Drama']
tt0216621,"['Drama', 'Fantasy']"
tt0216735,"['Comedy', 'Drama', 'Romance']"
tt0217978,"['Crime', 'Drama', 'Thriller']"
tt0218066,['Documentary']
tt0219095,['Documentary']
tt0220159,"['Adventure', 'Animation', 'Comedy']"
tt0220525,['Documentary']
tt0220616,['Family']
tt0221074,"['Comedy', 'Family', 'Romance']"
tt0222925,
tt0223467,
tt0223623,"['Drama', 'Fantasy']"
tt0223634,"['Animation', 'Comedy', 'Family']"
tt0225393,"['Drama', 'Fantasy']"
tt0225394,"['Drama', 'Fantasy']"
tt0225829,"['Animation', 'Family']"
tt0228137,"['Drama', 'Fantasy']"
tt0228296,['Family']
tt0228332,"['Fantasy', 'Music']"
tt0230744,"['Drama', 'Family', 'Fantasy']"
tt0231364,"['Comedy', 'Family', 'Music']"
tt0233828,['Documentary']
tt0235846,['Drama']
tt0237604,"['Comedy', 'Family']"
tt0238063,['Family']
tt0238121,['Drama']
tt0238414,"['Animation', 'Comedy', 'Family']"
tt0240878,"['Animation', 'Drama', 'Fantasy']"
tt0241966,"['Adventure', 'Animation', 'Comedy']"
tt0242135,"['Animation', 'Family']"
tt0242389,"['Animation', 'Drama', 'Family']"
tt0242848,"['Comedy', 'Drama', 'Family']"
tt0243372,"['Comedy', 'Family']"
tt0243375,['Family']
tt0244462,
tt0245052,
tt0245836,['Family']
tt0249991,['Animation']
tt0250038,
tt0250425,['Drama']
tt0250948,"['Animation', 'Family', 'Sci-Fi']"
tt0251021,['Documentary']
tt0251126,"['Animation', 'Family', 'Fantasy']"
tt0251282,"['Comedy', 'Family', 'Musical']"
tt0251640,"['Comedy', 'Family', 'Musical']"
tt0252028,"['Comedy', 'Romance']"
tt0256466,"['Comedy', 'Family']"
tt0257255,"['Adventure', 'Comedy', 'Family']"
tt0257484,"['Drama', 'Family']"
tt0259459,"['Drama', 'Family']"
tt0259741,"['Comedy', 'Romance']"
tt0259894,"['Comedy', 'Documentary', 'Music']"
tt0259929,"['Animation', 'Family', 'Fantasy']"
tt0260824,"['Animation', 'Comedy']"
tt0261823,['Comedy']
tt0261843,"['Adventure', 'Comedy']"
tt0262815,['Animation']
tt0263206,"['Animation', 'Comedy', 'Musical']"
tt0264483,['Family']
tt0264821,
tt0267978,"['Adventure', 'Animation', 'Comedy']"
tt0268096,"['Adventure', 'Animation', 'Comedy']"
tt0268677,"['Animation', 'Family']"
tt0268948,"['Animation', 'Comedy', 'Family']"
