,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,simpleTitle,christmas,hanukkah,kwanzaa,holiday,cluster
0,tt0020356,movie,Sailor's Holiday,Sailor's Holiday,0,1929.0,58.0,Comedy,5.4,55,sailor's holiday,0,0,0,1,1
1,tt0020823,movie,The Devil's Holiday,The Devil's Holiday,0,1930.0,80.0,"Drama,Romance",6.0,244,the devil's holiday,0,0,0,1,1
2,tt0020985,movie,Holiday,Holiday,0,1930.0,91.0,"Comedy,Drama",6.3,643,holiday,0,0,0,1,1
3,tt0021268,movie,Holiday of St. Jorgen,Prazdnik svyatogo Yorgena,0,1930.0,83.0,Comedy,7.3,257,holiday of st jorgen,0,0,0,1,1
4,tt0021377,movie,Sin Takes a Holiday,Sin Takes a Holiday,0,1930.0,81.0,"Comedy,Romance",6.1,741,sin takes a holiday,0,0,0,1,1
5,tt0021381,movie,Sinners' Holiday,Sinners' Holiday,0,1930.0,60.0,"Adventure,Crime,Romance",6.3,690,sinners holiday,0,0,0,1,1
6,tt0023039,movie,Husband's Holiday,Husband's Holiday,0,1931.0,70.0,Drama,6.3,28,husband's holiday,0,0,0,1,1
7,tt0024869,movie,Beggar's Holiday,Beggar's Holiday,0,1934.0,60.0,"Crime,Drama,Romance",5.6,15,beggar's holiday,0,0,0,1,1
8,tt0025006,movie,Cowboy Holiday,Cowboy Holiday,0,1934.0,56.0,Western,4.9,74,cowboy holiday,0,0,0,1,1
9,tt0025037,movie,Death Takes a Holiday,Death Takes a Holiday,0,1934.0,79.0,"Drama,Fantasy,Romance",6.9,2364,death takes a holiday,0,0,0,1,1
10,tt0027456,movie,College Holiday,College Holiday,0,1936.0,86.0,"Comedy,Musical,Romance",5.7,191,college holiday,0,0,0,1,1
11,tt0027923,movie,Mad Holiday,Mad Holiday,0,1936.0,71.0,"Comedy,Mystery,Romance",6.0,218,mad holiday,0,0,0,1,1
12,tt0028310,movie,Stolen Holiday,Stolen Holiday,0,1937.0,80.0,"Drama,Romance",6.3,617,stolen holiday,0,0,0,1,1
13,tt0028576,movie,Angel's Holiday,Angel's Holiday,0,1937.0,76.0,"Comedy,Crime,Mystery",6.3,33,angel's holiday,0,0,0,1,1
14,tt0028763,movie,Dangerous Holiday,Dangerous Holiday,0,1937.0,58.0,Drama,5.8,57,dangerous holiday,0,0,0,1,1
15,tt0028843,movie,Every Day's a Holiday,Every Day's a Holiday,0,1937.0,79.0,"Comedy,Musical",6.2,469,every day's a holiday,0,0,0,1,1
16,tt0029894,movie,Bank Holiday,Bank Holiday,0,1938.0,86.0,"Comedy,Drama",6.4,537,bank holiday,0,0,0,1,1
17,tt0029992,movie,A Christmas Carol,A Christmas Carol,0,1938.0,69.0,"Drama,Family,Fantasy",7.5,8664,a christmas carol,1,0,0,0,0
18,tt0030027,movie,Crime Takes a Holiday,Crime Takes a Holiday,0,1938.0,59.0,"Action,Crime,Drama",6.5,25,crime takes a holiday,0,0,0,1,1
19,tt0030241,movie,Holiday,Holiday,0,1938.0,95.0,"Comedy,Romance",7.7,17770,holiday,0,0,0,1,1
20,tt0030897,movie,Tropic Holiday,Tropic Holiday,0,1938.0,78.0,"Comedy,Music,Romance",5.5,106,tropic holiday,0,0,0,1,1
21,tt0031490,movie,Inspector Hornleigh on Holiday,Inspector Hornleigh on Holiday,0,1939.0,90.0,"Comedy,Crime,Drama",6.8,234,inspector hornleigh on holiday,0,0,0,1,1
22,tt0032338,movie,Christmas in July,Christmas in July,0,1940.0,67.0,"Comedy,Drama,Romance",7.4,4205,christmas in july,1,0,0,0,0
23,tt0034862,movie,Holiday Inn,Holiday Inn,0,1942.0,100.0,"Comedy,Drama,Music",7.3,17349,holiday inn,0,0,0,1,1
24,tt0036014,movie,Hoosier Holiday,Hoosier Holiday,0,1943.0,65.0,"Comedy,Music,Romance",6.7,18,hoosier holiday,0,0,0,1,1
25,tt0036711,movie,Christmas Holiday,Christmas Holiday,0,1944.0,93.0,"Crime,Drama,Film-Noir",6.5,1620,christmas holiday,1,0,0,1,1
26,tt0036988,movie,Knickerbocker Holiday,Knickerbocker Holiday,0,1944.0,85.0,"Comedy,History,Musical",5.3,196,knickerbocker holiday,0,0,0,1,1
27,tt0037242,movie,Sailor's Holiday,Sailor's Holiday,0,1944.0,60.0,"Comedy,Romance,War",5.8,22,sailor's holiday,0,0,0,1,1
28,tt0037595,movie,Christmas in Connecticut,Christmas in Connecticut,0,1945.0,101.0,"Comedy,Romance",7.3,11808,christmas in connecticut,1,0,0,0,0
29,tt0038125,movie,Strange Holiday,Strange Holiday,0,1945.0,61.0,"Drama,Thriller",5.4,238,strange holiday,0,0,0,1,1
30,tt0038606,movie,Holiday in Mexico,Holiday in Mexico,0,1946.0,128.0,"Comedy,Musical,Romance",6.1,491,holiday in mexico,0,0,0,1,1
31,tt0038833,movie,Perilous Holiday,Perilous Holiday,0,1946.0,89.0,"Crime,Drama",6.0,33,perilous holiday,0,0,0,1,1
